LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1670854070.512003,121277.000,18046,5,PI,1,100,1227
1670854070.512003,121277.000,18046,5,PI,1,100,1238
1670854070.512003,121277.000,18046,5,PI,1,100,1238
1670854070.512003,121277.000,18046,5,PI,1,100,1240
1670854070.512003,121277.000,18046,5,PI,1,100,1245
1670854070.555096,121318.750,18071,4,PI,1,100,1250
1670854070.598189,121360.500,18071,4,PI,1,100,1253
1670854070.641282,121402.250,18071,4,PI,1,100,1255
1670854070.684375,121444.000,18071,4,PI,1,100,1241
1670854070.724630,121483.000,18087,2,PI,1,100,1247
1670854070.764885,121522.000,18087,2,PI,1,100,1240
1670854070.803763,121559.667,18104,3,PI,1,100,1236
1670854070.842642,121597.333,18104,3,PI,1,100,1234
1670854070.881520,121635.000,18104,3,PI,1,100,1242
1670854070.921431,121673.667,18120,3,PI,1,100,1233
1670854070.961341,121712.333,18120,3,PI,1,100,1240
1670854071.001252,121751.000,18120,3,PI,1,100,1242
1670854071.040990,121789.500,18136,2,PI,1,100,1247
1670854071.080729,121828.000,18136,2,PI,1,100,1248
1670854071.120640,121866.667,18152,3,PI,1,100,1254
1670854071.160550,121905.333,18152,3,PI,1,100,1247
1670854071.200461,121944.000,18152,3,PI,1,100,1240
1670854071.240371,121982.667,18170,3,PI,1,100,1246
1670854071.280282,122021.333,18170,3,PI,1,100,1229
1670854071.320193,122060.000,18170,3,PI,1,100,1236
1670854071.359931,122098.500,18186,2,PI,1,100,1238
1670854071.399670,122137.000,18186,2,PI,1,100,1240
1670854071.439580,122175.667,18201,3,PI,1,100,1242
1670854071.479491,122214.333,18201,3,PI,1,100,1244
1670854071.519402,122253.000,18201,3,PI,1,100,1242
1670854071.560173,122292.500,18218,2,PI,1,100,1242
1670854071.600943,122332.000,18218,2,PI,1,100,1259
1670854071.640854,122370.667,18237,3,PI,1,100,1251
1670854071.680764,122409.333,18237,3,PI,1,100,1242
1670854071.720675,122448.000,18237,3,PI,1,100,1233
1670854071.760930,122487.000,18253,3,PI,1,100,1234
1670854071.801184,122526.000,18253,3,PI,1,100,1234
1670854071.841439,122565.000,18253,3,PI,1,100,1235
1670854071.880662,122603.000,18270,2,PI,1,100,1229
1670854071.919884,122641.000,18270,2,PI,1,100,1242
1670854071.959451,122679.333,18285,3,PI,1,100,1247
1670854071.999017,122717.667,18285,3,PI,1,100,1250
1670854072.038584,122756.000,18285,3,PI,1,100,1250
1670854072.077290,122793.500,18302,2,PI,1,100,1250
1670854072.115997,122831.000,18302,2,PI,1,100,1249
1670854072.156251,122870.000,18319,3,PI,1,100,1243
1670854072.196506,122909.000,18319,3,PI,1,100,1238
1670854072.236761,122948.000,18319,3,PI,1,100,1226
1670854072.277359,122987.333,18336,3,PI,1,100,1243
1670854072.317958,123026.667,18336,3,PI,1,100,1229
1670854072.358557,123066.000,18336,3,PI,1,100,1243
1670854072.406037,123112.000,18350,2,PI,1,100,1245
1670854072.453517,123158.000,18350,2,PI,1,100,1259
1670854072.493255,123196.500,18367,2,PI,1,100,1245
1670854072.532994,123235.000,18367,2,PI,1,100,1241
1670854072.572905,123273.667,18386,3,PI,1,100,1251
1670854072.612815,123312.333,18386,3,PI,1,100,1248
1670854072.652726,123351.000,18386,3,PI,1,100,1235
1670854072.692980,123390.000,18403,3,PI,1,100,1234
1670854072.733235,123429.000,18403,3,PI,1,100,1249
1670854072.773490,123468.000,18403,3,PI,1,100,1237
1670854072.813228,123506.500,18419,2,PI,1,100,1240
1670854072.852967,123545.000,18419,2,PI,1,100,1239
1670854072.892190,123583.000,18435,3,PI,1,100,1237
1670854072.931412,123621.000,18435,3,PI,1,100,1245
1670854072.970634,123659.000,18435,3,PI,1,100,1248
1670854073.011233,123698.333,18451,3,PI,1,100,1245
1670854073.051832,123737.667,18451,3,PI,1,100,1242
1670854073.092431,123777.000,18451,3,PI,1,100,1254
1670854073.132685,123816.000,18468,2,PI,1,100,1238
1670854073.172940,123855.000,18468,2,PI,1,100,1236
1670854073.212851,123893.667,18485,3,PI,1,100,1229
1670854073.252761,123932.333,18485,3,PI,1,100,1233
1670854073.292672,123971.000,18485,3,PI,1,100,1240
1670854073.332410,124009.500,18501,2,PI,1,100,1236
1670854073.372149,124048.000,18501,2,PI,1,100,1237
1670854073.411716,124086.333,18516,3,PI,1,100,1238
1670854073.451282,124124.667,18516,3,PI,1,100,1241
1670854073.490849,124163.000,18516,3,PI,1,100,1255
1670854073.530071,124201.000,18534,3,PI,1,100,1257
1670854073.569294,124239.000,18534,3,PI,1,100,1248
1670854073.608516,124277.000,18534,3,PI,1,100,1250
1670854073.648771,124316.000,18552,2,PI,1,100,1240
1670854073.689026,124355.000,18552,2,PI,1,100,1234
1670854073.729624,124394.333,18569,3,PI,1,100,1228
1670854073.770223,124433.667,18569,3,PI,1,100,1250
1670854073.810822,124473.000,18569,3,PI,1,100,1237
1670854073.851593,124512.500,18584,2,PI,1,100,1240
1670854073.892363,124552.000,18584,2,PI,1,100,1246
1670854073.932274,124590.667,18601,3,PI,1,100,1251
1670854073.972184,124629.333,18601,3,PI,1,100,1255
1670854074.012095,124668.000,18601,3,PI,1,100,1253
1670854074.051318,124706.000,18617,3,PI,1,100,1246
1670854074.090540,124744.000,18617,3,PI,1,100,1239
1670854074.129763,124782.000,18617,3,PI,1,100,1230
1670854074.176210,124827.000,18635,2,PI,1,100,1235
1670854074.222658,124872.000,18635,2,PI,1,100,1236
1670854074.262225,124910.333,18650,3,PI,1,100,1232
1670854074.301791,124948.667,18650,3,PI,1,100,1237
1670854074.341358,124987.000,18650,3,PI,1,100,1238
1670854074.381096,125025.500,18666,2,PI,1,100,1241
1670854074.420835,125064.000,18666,2,PI,1,100,1246
1670854074.460746,125102.667,18682,3,PI,1,100,1250
1670854074.500656,125141.333,18682,3,PI,1,100,1248
1670854074.540567,125180.000,18682,3,PI,1,100,1245
1670854074.581337,125219.500,18702,2,PI,1,100,1249
1670854074.622108,125259.000,18702,2,PI,1,100,1242
1670854074.662707,125298.333,18718,3,PI,1,100,1229
1670854074.703306,125337.667,18718,3,PI,1,100,1222
1670854074.743904,125377.000,18718,3,PI,1,100,1236
1670854074.783815,125415.667,18733,3,PI,1,100,1234
1670854074.823726,125454.333,18733,3,PI,1,100,1240
1670854074.863636,125493.000,18733,3,PI,1,100,1244
1670854074.902859,125531.000,18750,2,PI,1,100,1257
1670854074.942081,125569.000,18750,2,PI,1,100,1251
1670854074.981304,125607.000,18767,3,PI,1,100,1249
1670854075.020526,125645.000,18767,3,PI,1,100,1241
1670854075.059749,125683.000,18767,3,PI,1,100,1239
1670854075.100003,125722.000,18783,2,PI,1,100,1229
1670854075.140258,125761.000,18783,2,PI,1,100,1232
1670854075.180513,125800.000,18801,3,PI,1,100,1227
1670854075.220767,125839.000,18801,3,PI,1,100,1220
