LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1670854070.512003,121277.000,18047,5,PR,1,100,1588
1670854070.512003,121277.000,18047,5,PR,1,100,1587
1670854070.512003,121277.000,18047,5,PR,1,100,1576
1670854070.512003,121277.000,18047,5,PR,1,100,1579
1670854070.512003,121277.000,18047,5,PR,1,100,1575
1670854070.555096,121318.750,18072,4,PR,1,100,1579
1670854070.598189,121360.500,18072,4,PR,1,100,1582
1670854070.641282,121402.250,18072,4,PR,1,100,1592
1670854070.684375,121444.000,18072,4,PR,1,100,1585
1670854070.724630,121483.000,18088,2,PR,1,100,1594
1670854070.764885,121522.000,18088,2,PR,1,100,1586
1670854070.803763,121559.667,18105,3,PR,1,100,1595
1670854070.842642,121597.333,18105,3,PR,1,100,1589
1670854070.881520,121635.000,18105,3,PR,1,100,1578
1670854070.921431,121673.667,18121,3,PR,1,100,1575
1670854070.961341,121712.333,18121,3,PR,1,100,1566
1670854071.001252,121751.000,18121,3,PR,1,100,1581
1670854071.040990,121789.500,18137,2,PR,1,100,1572
1670854071.080729,121828.000,18137,2,PR,1,100,1576
1670854071.120640,121866.667,18153,3,PR,1,100,1578
1670854071.160550,121905.333,18153,3,PR,1,100,1589
1670854071.200461,121944.000,18153,3,PR,1,100,1590
1670854071.240371,121982.667,18171,3,PR,1,100,1592
1670854071.280282,122021.333,18171,3,PR,1,100,1590
1670854071.320193,122060.000,18171,3,PR,1,100,1582
1670854071.359931,122098.500,18187,2,PR,1,100,1580
1670854071.399670,122137.000,18187,2,PR,1,100,1575
1670854071.439580,122175.667,18202,3,PR,1,100,1570
1670854071.479491,122214.333,18202,3,PR,1,100,1570
1670854071.519402,122253.000,18202,3,PR,1,100,1581
1670854071.560173,122292.500,18219,2,PR,1,100,1577
1670854071.600943,122332.000,18219,2,PR,1,100,1584
1670854071.640854,122370.667,18238,3,PR,1,100,1588
1670854071.680764,122409.333,18238,3,PR,1,100,1608
1670854071.720675,122448.000,18238,3,PR,1,100,1585
1670854071.760930,122487.000,18254,3,PR,1,100,1593
1670854071.801184,122526.000,18254,3,PR,1,100,1583
1670854071.841439,122565.000,18254,3,PR,1,100,1585
1670854071.880662,122603.000,18271,2,PR,1,100,1579
1670854071.919884,122641.000,18271,2,PR,1,100,1570
1670854071.959451,122679.333,18286,3,PR,1,100,1570
1670854071.999017,122717.667,18286,3,PR,1,100,1569
1670854072.038584,122756.000,18286,3,PR,1,100,1590
1670854072.077290,122793.500,18303,2,PR,1,100,1586
1670854072.115997,122831.000,18303,2,PR,1,100,1588
1670854072.156251,122870.000,18320,3,PR,1,100,1588
1670854072.196506,122909.000,18320,3,PR,1,100,1595
1670854072.236761,122948.000,18320,3,PR,1,100,1591
1670854072.277359,122987.333,18337,3,PR,1,100,1591
1670854072.317958,123026.667,18337,3,PR,1,100,1576
1670854072.358557,123066.000,18337,3,PR,1,100,1572
1670854072.406037,123112.000,18351,2,PR,1,100,1570
1670854072.453517,123158.000,18351,2,PR,1,100,1577
1670854072.493255,123196.500,18368,2,PR,1,100,1587
1670854072.532994,123235.000,18368,2,PR,1,100,1579
1670854072.572905,123273.667,18387,3,PR,1,100,1592
1670854072.612815,123312.333,18387,3,PR,1,100,1589
1670854072.652726,123351.000,18387,3,PR,1,100,1592
1670854072.692980,123390.000,18404,3,PR,1,100,1585
1670854072.733235,123429.000,18404,3,PR,1,100,1591
1670854072.773490,123468.000,18404,3,PR,1,100,1581
