LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1670854070.657539,121418.000,18066,2,RD,1,100,TL
1670854070.657539,121418.000,18066,2,RD,1,100,TU
1670854073.320540,123998.000,18918,2,RD,1,100,TL
1670854075.983542,126578.000,18918,2,RD,1,100,TU
1670854078.619191,129131.500,19753,2,RD,1,100,TL
1670854081.254840,131685.000,19753,2,RD,1,100,TU
1670854083.888425,134236.500,20587,2,RD,1,100,TL
1670854086.522009,136788.000,20587,2,RD,1,100,TU
1670854089.176754,139360.000,21439,2,RD,1,100,TL
1670854091.831498,141932.000,21439,2,RD,1,100,TU
1670854094.463534,144482.000,22276,2,RD,1,100,TL
1670854097.095571,147032.000,22276,2,RD,1,100,TU
1670854099.736380,149590.500,23096,2,RD,1,100,TL
1670854102.377190,152149.000,23096,2,RD,1,100,TU
1670854105.008194,154698.000,23934,2,RD,1,100,TL
1670854107.639199,157247.000,23934,2,RD,1,100,TU
1670854110.282073,159807.500,24770,2,RD,1,100,TL
1670854112.924947,162368.000,24770,2,RD,1,100,TU
1670854115.554403,164915.500,25603,2,RD,1,100,TL
1670854118.183859,167463.000,25603,2,RD,1,100,TU
1670854120.824153,170021.000,26437,2,RD,1,100,TL
1670854123.464447,172579.000,26437,2,RD,1,100,TU
1670854126.101644,175134.000,27274,2,RD,1,100,TL
1670854128.738841,177689.000,27274,2,RD,1,100,TU
1670854131.374490,180242.500,28110,2,RD,1,100,TL
1670854134.010139,182796.000,28110,2,RD,1,100,TU
1670854136.665400,185368.500,28927,2,RD,1,100,TL
1670854139.320660,187941.000,28927,2,RD,1,100,TU
1670854141.941342,190480.000,29747,2,RD,1,100,TL
1670854144.562025,193019.000,29747,2,RD,1,100,TU
1670854147.219866,195594.000,30583,2,RD,1,100,TL
1670854149.877706,198169.000,30583,2,RD,1,100,TU
1670854152.511807,200721.000,31417,2,RD,1,100,TL
1670854155.145908,203273.000,31417,2,RD,1,100,TU
1670854157.786202,205831.000,32255,2,RD,1,100,TL
1670854160.426495,208389.000,32255,2,RD,1,100,TU
1670854163.062660,210943.000,33089,2,RD,1,100,TL
1670854165.698826,213497.000,33089,2,RD,1,100,TU
1670854168.335507,216051.500,33909,2,RD,1,100,TL
1670854170.972188,218606.000,33909,2,RD,1,100,TU
1670854173.605257,221157.000,34730,2,RD,1,100,TL
1670854176.238325,223708.000,34730,2,RD,1,100,TU
1670854178.881199,226268.500,35566,2,RD,1,100,TL
1670854181.524074,228829.000,35566,2,RD,1,100,TU
1670854184.181398,231403.500,36400,2,RD,1,100,TL
1670854186.838723,233978.000,36400,2,RD,1,100,TU
1670854189.487274,236544.000,37234,2,RD,1,100,TL
1670854192.135825,239110.000,37234,2,RD,1,100,TU
1670854194.789021,241680.500,38072,2,RD,1,100,TL
1670854197.442217,244251.000,38072,2,RD,1,100,TU
