LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1670854070.645153,121406.000,18070,1,SF,1,100,3.9869
1670854070.974416,121725.000,18119,1,SF,1,100,3.9407
1670854071.306775,122047.000,18169,1,SF,1,100,3.8952
1670854071.575139,122307.000,18217,1,SF,1,100,3.8501
1670854071.905434,122627.000,18269,1,SF,1,100,3.8056
1670854072.236761,122948.000,18318,1,SF,1,100,3.7615
1670854072.640340,123339.000,18385,1,SF,1,100,3.7180
1670854072.970634,123659.000,18434,1,SF,1,100,3.6750
1670854073.238999,123919.000,18484,1,SF,1,100,3.6325
1670854073.569294,124239.000,18533,1,SF,1,100,3.5905
1670854073.905782,124565.000,18583,1,SF,1,100,3.5489
1670854074.236076,124885.000,18634,1,SF,1,100,3.5079
1670854074.635526,125272.000,18701,1,SF,1,100,3.4673
1670854074.968918,125595.000,18749,1,SF,1,100,3.4272
1670854075.233154,125851.000,18800,1,SF,1,100,3.3876
1670854075.569641,126177.000,18848,1,SF,1,100,3.3484
1670854075.900968,126498.000,18899,1,SF,1,100,3.3096
1670854076.302483,126887.000,18970,1,SF,1,100,3.2713
1670854076.632778,127207.000,19021,1,SF,1,100,3.2335
1670854076.965137,127529.000,19070,1,SF,1,100,3.1961
1670854077.230405,127786.000,19120,1,SF,1,100,3.1591
1670854077.561732,128107.000,19169,1,SF,1,100,3.1226
1670854077.892026,128427.000,19219,1,SF,1,100,3.0865
1670854078.225418,128750.000,19270,1,SF,1,100,3.0508
1670854078.621771,129134.000,19337,1,SF,1,100,3.0155
1670854078.954131,129456.000,19385,1,SF,1,100,2.9806
1670854079.220431,129714.000,19436,1,SF,1,100,2.9461
1670854079.555886,130039.000,19484,1,SF,1,100,2.9120
1670854079.887213,130360.000,19535,1,SF,1,100,2.8783
1670854080.218540,130681.000,19585,1,SF,1,100,2.8450
1670854080.615926,131066.000,19652,1,SF,1,100,2.8121
1670854080.950350,131390.000,19701,1,SF,1,100,2.7796
1670854081.281677,131711.000,19756,1,SF,1,100,2.7474
1670854081.618164,132037.000,19807,1,SF,1,100,2.7157
1670854081.950523,132359.000,19857,1,SF,1,100,2.6842
1670854082.217856,132618.000,19906,1,SF,1,100,2.6532
1670854082.551247,132941.000,19954,1,SF,1,100,2.6225
1670854082.883606,133263.000,20007,1,SF,1,100,2.5922
1670854083.283056,133650.000,20072,1,SF,1,100,2.5622
1670854083.612319,133969.000,20122,1,SF,1,100,2.5325
1670854083.881716,134230.000,20173,1,SF,1,100,2.5032
1670854084.212010,134550.000,20221,1,SF,1,100,2.4743
1670854084.548498,134876.000,20270,1,SF,1,100,2.4457
1670854084.945884,135261.000,20338,1,SF,1,100,2.4174
1670854085.279275,135584.000,20387,1,SF,1,100,2.3894
1670854085.546608,135843.000,20436,1,SF,1,100,2.3618
1670854085.877934,136164.000,20488,1,SF,1,100,2.3344
1670854086.209261,136485.000,20537,1,SF,1,100,2.3074
1670854086.540588,136806.000,20590,1,SF,1,100,2.2807
1670854086.937974,137191.000,20657,1,SF,1,100,2.2544
1670854087.271366,137514.000,20708,1,SF,1,100,2.2283
1670854087.535601,137770.000,20756,1,SF,1,100,2.2025
1670854087.866928,138091.000,20808,1,SF,1,100,2.1770
1670854088.200320,138414.000,20857,1,SF,1,100,2.1518
1670854088.599770,138801.000,20924,1,SF,1,100,2.1269
1670854088.932129,139123.000,20973,1,SF,1,100,2.1023
1670854089.196365,139379.000,21023,1,SF,1,100,2.0780
1670854089.530788,139703.000,21072,1,SF,1,100,2.0540
1670854089.863147,140025.000,21122,1,SF,1,100,2.0302
1670854090.195507,140347.000,21173,1,SF,1,100,2.0067
1670854090.593925,140733.000,21240,1,SF,1,100,1.9835
1670854090.928348,141057.000,21288,1,SF,1,100,1.9606
1670854091.193616,141314.000,21339,1,SF,1,100,1.9379
1670854091.530104,141640.000,21387,1,SF,1,100,1.9155
1670854091.858334,141958.000,21443,1,SF,1,100,1.8933
1670854092.261913,142349.000,21508,1,SF,1,100,1.8714
1670854092.593240,142670.000,21560,1,SF,1,100,1.8498
1670854092.859540,142928.000,21609,1,SF,1,100,1.8284
1670854093.192931,143251.000,21659,1,SF,1,100,1.8072
1670854093.524258,143572.000,21708,1,SF,1,100,1.7863
1670854093.859714,143897.000,21758,1,SF,1,100,1.7657
1670854094.257100,144282.000,21823,1,SF,1,100,1.7452
1670854094.591523,144606.000,21876,1,SF,1,100,1.7250
1670854094.855759,144862.000,21924,1,SF,1,100,1.7051
1670854095.186054,145182.000,21974,1,SF,1,100,1.6854
1670854095.518413,145504.000,22023,1,SF,1,100,1.6659
1670854095.849740,145825.000,22074,1,SF,1,100,1.6466
1670854096.248158,146211.000,22139,1,SF,1,100,1.6275
1670854096.514458,146469.000,22191,1,SF,1,100,1.6087
1670854096.845785,146790.000,22240,1,SF,1,100,1.5901
1670854097.177112,147111.000,22279,1,SF,1,100,1.5717
1670854097.578627,147500.000,22346,1,SF,1,100,1.5535
1670854097.910986,147822.000,22397,1,SF,1,100,1.5356
1670854098.178318,148081.000,22445,1,SF,1,100,1.5178
1670854098.507581,148400.000,22494,1,SF,1,100,1.5002
1670854098.839940,148722.000,22546,1,SF,1,100,1.4829
1670854099.307513,149175.000,22611,1,SF,1,100,1.4657
1670854099.506722,149368.000,22645,1,SF,1,100,1.4488
1670854099.841146,149692.000,22696,1,SF,1,100,1.4320
1670854100.173505,150014.000,22746,1,SF,1,100,1.4154
1670854100.575020,150403.000,22813,1,SF,1,100,1.3991
1670854100.907379,150725.000,22862,1,SF,1,100,1.3829
1670854101.172647,150982.000,22912,1,SF,1,100,1.3669
1670854101.508102,151307.000,22961,1,SF,1,100,1.3511
1670854101.835300,151624.000,23011,1,SF,1,100,1.3354
1670854102.238879,152015.000,23076,1,SF,1,100,1.3200
1670854102.503115,152271.000,23115,1,SF,1,100,1.3047
1670854102.905662,152661.000,23182,1,SF,1,100,1.2896
1670854103.236989,152982.000,23233,1,SF,1,100,1.2747
1670854103.502257,153239.000,23281,1,SF,1,100,1.2600
1670854103.834616,153561.000,23334,1,SF,1,100,1.2454
1670854104.165943,153882.000,23382,1,SF,1,100,1.2310
1670854104.496238,154202.000,23431,1,SF,1,100,1.2167
1670854104.894656,154588.000,23498,1,SF,1,100,1.2027
1670854105.225983,154909.000,23548,1,SF,1,100,1.1888
1670854105.492283,155167.000,23597,1,SF,1,100,1.1750
1670854105.823610,155488.000,23648,1,SF,1,100,1.1614
1670854106.155969,155810.000,23698,1,SF,1,100,1.1480
1670854106.487296,156131.000,23746,1,SF,1,100,1.1347
1670854106.887778,156519.000,23814,1,SF,1,100,1.1216
1670854107.219105,156840.000,23864,1,SF,1,100,1.1086
1670854107.484373,157097.000,23912,1,SF,1,100,1.0958
1670854107.817764,157420.000,23954,1,SF,1,100,1.0831
1670854108.218247,157808.000,24020,1,SF,1,100,1.0706
1670854108.550606,158130.000,24071,1,SF,1,100,1.0582
1670854108.813810,158385.000,24120,1,SF,1,100,1.0459
1670854109.150297,158711.000,24170,1,SF,1,100,1.0338
1670854109.482656,159033.000,24219,1,SF,1,100,1.0219
1670854109.884171,159422.000,24286,1,SF,1,100,1.0101
1670854110.214466,159742.000,24334,1,SF,1,100,0.9984
1670854110.483862,160003.000,24385,1,SF,1,100,0.9868
1670854110.814157,160323.000,24435,1,SF,1,100,0.9754
1670854111.146516,160645.000,24484,1,SF,1,100,0.9641
1670854111.481972,160970.000,24534,1,SF,1,100,0.9530
1670854111.880390,161356.000,24601,1,SF,1,100,0.9420
1670854112.147722,161615.000,24650,1,SF,1,100,0.9311
1670854112.479049,161936.000,24700,1,SF,1,100,0.9203
1670854112.811408,162258.000,24751,1,SF,1,100,0.9096
1670854113.140671,162577.000,24804,1,SF,1,100,0.8991
1670854113.473030,162899.000,24855,1,SF,1,100,0.8887
1670854113.871448,163285.000,24922,1,SF,1,100,0.8784
1670854114.202775,163606.000,24970,1,SF,1,100,0.8683
1670854114.468043,163863.000,25021,1,SF,1,100,0.8582
1670854114.801434,164186.000,25071,1,SF,1,100,0.8483
1670854115.130697,164505.000,25120,1,SF,1,100,0.8385
1670854115.530147,164892.000,25188,1,SF,1,100,0.8288
1670854115.865603,165217.000,25237,1,SF,1,100,0.8192
1670854116.131903,165475.000,25286,1,SF,1,100,0.8097
1670854116.465294,165798.000,25335,1,SF,1,100,0.8004
1670854116.797653,166120.000,25387,1,SF,1,100,0.7911
1670854117.195039,166505.000,25452,1,SF,1,100,0.7819
1670854117.529463,166829.000,25502,1,SF,1,100,0.7729
1670854117.860790,167150.000,25553,1,SF,1,100,0.7640
1670854118.264369,167541.000,25607,1,SF,1,100,0.7551
1670854118.461513,167732.000,25639,1,SF,1,100,0.7464
1670854118.796969,168057.000,25691,1,SF,1,100,0.7378
1670854119.198483,168446.000,25756,1,SF,1,100,0.7292
1670854119.528778,168766.000,25807,1,SF,1,100,0.7208
1670854119.797143,169026.000,25857,1,SF,1,100,0.7124
1670854120.127437,169346.000,25906,1,SF,1,100,0.7042
1670854120.463925,169672.000,25954,1,SF,1,100,0.6961
1670854120.860279,170056.000,26021,1,SF,1,100,0.6880
1670854121.197799,170383.000,26072,1,SF,1,100,0.6800
1670854121.462035,170639.000,26120,1,SF,1,100,0.6722
1670854121.792330,170959.000,26172,1,SF,1,100,0.6644
1670854122.124689,171281.000,26221,1,SF,1,100,0.6567
1670854122.454983,171601.000,26270,1,SF,1,100,0.6491
1670854122.851337,171985.000,26337,1,SF,1,100,0.6416
1670854123.183696,172307.000,26387,1,SF,1,100,0.6342
1670854123.448964,172564.000,26441,1,SF,1,100,0.6269
1670854123.782356,172887.000,26492,1,SF,1,100,0.6196
1670854124.113683,173208.000,26542,1,SF,1,100,0.6124
1670854124.511068,173593.000,26609,1,SF,1,100,0.6054
1670854124.842395,173914.000,26657,1,SF,1,100,0.5983
1670854125.110760,174174.000,26708,1,SF,1,100,0.5914
1670854125.443119,174496.000,26756,1,SF,1,100,0.5846
1670854125.776510,174819.000,26807,1,SF,1,100,0.5778
1670854126.110934,175143.000,26857,1,SF,1,100,0.5711
1670854126.510384,175530.000,26924,1,SF,1,100,0.5645
1670854126.775652,175787.000,26973,1,SF,1,100,0.5580
1670854127.105947,176107.000,27023,1,SF,1,100,0.5515
1670854127.442434,176433.000,27072,1,SF,1,100,0.5452
1670854127.773761,176754.000,27122,1,SF,1,100,0.5389
1670854128.110249,177080.000,27173,1,SF,1,100,0.5326
1670854128.506603,177464.000,27240,1,SF,1,100,0.5265
1670854128.842058,177789.000,27293,1,SF,1,100,0.5204
1670854129.173385,178110.000,27344,1,SF,1,100,0.5144
1670854129.439686,178368.000,27392,1,SF,1,100,0.5084
