LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1670854070.504778,121270.000,18051,1,T1,1,100,23.920
1670854070.637928,121399.000,18076,1,T1,1,100,23.930
1670854070.770046,121527.000,18092,1,T1,1,100,23.934
1670854070.901131,121654.000,18109,1,T1,1,100,23.865
1670854071.034281,121783.000,18141,1,T1,1,100,23.906
1670854071.168464,121913.000,18157,1,T1,1,100,23.959
1670854071.300581,122041.000,18175,1,T1,1,100,23.947
1670854071.432699,122169.000,18206,1,T1,1,100,23.942
1670854071.567914,122300.000,18223,1,T1,1,100,23.868
1670854071.701064,122429.000,18242,1,T1,1,100,23.872
1670854071.834214,122558.000,18258,1,T1,1,100,23.803
1670854071.966332,122686.000,18290,1,T1,1,100,23.879
1670854072.097418,122813.000,18307,1,T1,1,100,23.877
1670854072.229536,122941.000,18324,1,T1,1,100,23.947
1670854072.365782,123073.000,18355,1,T1,1,100,23.906
1670854072.500997,123204.000,18372,1,T1,1,100,23.924
1670854072.633115,123332.000,18391,1,T1,1,100,23.861
1670854072.766264,123461.000,18408,1,T1,1,100,23.940
1670854072.898382,123589.000,18440,1,T1,1,100,23.868
1670854073.032565,123719.000,18456,1,T1,1,100,23.978
1670854073.165715,123848.000,18473,1,T1,1,100,23.955
1670854073.298865,123977.000,18490,1,T1,1,100,23.981
1670854073.433047,124107.000,18521,1,T1,1,100,23.885
1670854073.563101,124233.000,18539,1,T1,1,100,23.915
1670854073.696251,124362.000,18557,1,T1,1,100,23.892
1670854073.831465,124493.000,18589,1,T1,1,100,23.882
1670854073.965647,124623.000,18606,1,T1,1,100,23.878
1670854074.098798,124752.000,18622,1,T1,1,100,23.876
1670854074.228851,124878.000,18640,1,T1,1,100,23.840
1670854074.360969,125006.000,18671,1,T1,1,100,23.860
1670854074.495151,125136.000,18687,1,T1,1,100,23.939
1670854074.629333,125266.000,18707,1,T1,1,100,23.903
1670854074.764548,125397.000,18738,1,T1,1,100,23.887
1670854074.896666,125525.000,18755,1,T1,1,100,23.987
1670854075.027751,125652.000,18772,1,T1,1,100,23.959
1670854075.160902,125781.000,18788,1,T1,1,100,23.947
1670854075.295084,125911.000,18820,1,T1,1,100,23.977
1670854075.429266,126041.000,18837,1,T1,1,100,23.990
1670854075.562416,126170.000,18854,1,T1,1,100,23.925
1670854075.695566,126299.000,18873,1,T1,1,100,23.967
1670854075.827684,126427.000,18905,1,T1,1,100,23.915
1670854075.960834,126556.000,18926,1,T1,1,100,23.857
1670854076.095016,126686.000,18943,1,T1,1,100,23.903
1670854076.230231,126817.000,18959,1,T1,1,100,23.958
1670854076.362349,126945.000,18991,1,T1,1,100,23.982
1670854076.493434,127072.000,19008,1,T1,1,100,23.850
1670854076.625552,127200.000,19027,1,T1,1,100,23.864
1670854076.759735,127330.000,19044,1,T1,1,100,24.048
1670854076.892885,127459.000,19076,1,T1,1,100,23.985
1670854077.026035,127588.000,19092,1,T1,1,100,24.029
1670854077.157120,127715.000,19109,1,T1,1,100,24.013
1670854077.290271,127844.000,19141,1,T1,1,100,23.935
1670854077.423421,127973.000,19157,1,T1,1,100,23.901
1670854077.554507,128100.000,19175,1,T1,1,100,23.922
1670854077.686624,128228.000,19193,1,T1,1,100,23.931
1670854077.820807,128358.000,19225,1,T1,1,100,23.970
1670854077.952924,128486.000,19242,1,T1,1,100,23.987
1670854078.085042,128614.000,19258,1,T1,1,100,23.959
1670854078.218193,128743.000,19276,1,T1,1,100,23.911
1670854078.351343,128872.000,19307,1,T1,1,100,24.033
1670854078.482428,128999.000,19323,1,T1,1,100,24.014
1670854078.614546,129127.000,19343,1,T1,1,100,23.900
1670854078.747696,129256.000,19359,1,T1,1,100,23.921
1670854078.879814,129384.000,19391,1,T1,1,100,23.895
1670854079.013996,129514.000,19408,1,T1,1,100,23.955
1670854079.147146,129643.000,19424,1,T1,1,100,23.980
1670854079.282361,129774.000,19456,1,T1,1,100,23.956
1670854079.415511,129903.000,19473,1,T1,1,100,23.946
1670854079.548661,130032.000,19490,1,T1,1,100,23.976
1670854079.680779,130160.000,19509,1,T1,1,100,23.954
1670854079.812897,130288.000,19541,1,T1,1,100,23.909
1670854079.945015,130416.000,19557,1,T1,1,100,23.925
1670854080.079197,130546.000,19574,1,T1,1,100,23.968
1670854080.212347,130675.000,19591,1,T1,1,100,23.951
1670854080.344465,130803.000,19622,1,T1,1,100,23.801
1670854080.477615,130932.000,19639,1,T1,1,100,23.843
1670854080.608701,131059.000,19658,1,T1,1,100,23.932
1670854080.744947,131191.000,19689,1,T1,1,100,23.900
1670854080.877065,131319.000,19707,1,T1,1,100,23.957
1670854081.010216,131448.000,19723,1,T1,1,100,23.910
1670854081.143366,131577.000,19740,1,T1,1,100,23.890
1670854081.275483,131705.000,19762,1,T1,1,100,23.953
1670854081.408633,131834.000,19779,1,T1,1,100,24.050
1670854081.544880,131966.000,19813,1,T1,1,100,24.022
1670854081.678030,132095.000,19829,1,T1,1,100,23.939
1670854081.811180,132224.000,19846,1,T1,1,100,23.973
1670854081.943298,132352.000,19863,1,T1,1,100,23.882
1670854082.074384,132479.000,19894,1,T1,1,100,23.949
1670854082.210630,132611.000,19912,1,T1,1,100,23.978
1670854082.344813,132741.000,19928,1,T1,1,100,23.955
1670854082.478995,132871.000,19960,1,T1,1,100,23.910
1670854082.611113,132999.000,19979,1,T1,1,100,23.961
1670854082.743231,133127.000,19995,1,T1,1,100,23.912
1670854082.876381,133256.000,20013,1,T1,1,100,23.927
1670854083.010563,133386.000,20044,1,T1,1,100,23.862
1670854083.143713,133515.000,20060,1,T1,1,100,23.940
1670854083.275831,133643.000,20078,1,T1,1,100,23.974
1670854083.407949,133771.000,20094,1,T1,1,100,23.989
1670854083.539035,133898.000,20128,1,T1,1,100,23.889
1670854083.672185,134027.000,20145,1,T1,1,100,23.987
1670854083.807399,134158.000,20161,1,T1,1,100,23.995
1670854083.941581,134288.000,20193,1,T1,1,100,23.962
1670854084.074732,134417.000,20210,1,T1,1,100,23.984
1670854084.204785,134543.000,20227,1,T1,1,100,23.993
1670854084.337935,134672.000,20244,1,T1,1,100,23.997
1670854084.475214,134805.000,20276,1,T1,1,100,23.963
1670854084.609396,134935.000,20294,1,T1,1,100,23.842
1670854084.741514,135063.000,20311,1,T1,1,100,23.896
1670854084.872600,135190.000,20327,1,T1,1,100,23.884
1670854085.005750,135319.000,20359,1,T1,1,100,23.879
1670854085.138900,135448.000,20376,1,T1,1,100,23.948
1670854085.272050,135577.000,20393,1,T1,1,100,23.977
1670854085.406232,135707.000,20424,1,T1,1,100,24.026
1670854085.539382,135836.000,20442,1,T1,1,100,23.976
1670854085.670468,135963.000,20460,1,T1,1,100,23.919
1670854085.804650,136093.000,20477,1,T1,1,100,23.965
1670854085.937800,136222.000,20509,1,T1,1,100,23.914
1670854086.070951,136351.000,20525,1,T1,1,100,23.963
1670854086.202036,136478.000,20543,1,T1,1,100,24.019
1670854086.334154,136606.000,20559,1,T1,1,100,23.937
1670854086.467304,136735.000,20596,1,T1,1,100,24.008
1670854086.599422,136863.000,20615,1,T1,1,100,24.039
1670854086.733604,136993.000,20631,1,T1,1,100,24.052
1670854086.865722,137121.000,20663,1,T1,1,100,24.023
1670854086.998873,137250.000,20680,1,T1,1,100,24.010
1670854087.130990,137378.000,20696,1,T1,1,100,23.969
1670854087.264140,137507.000,20714,1,T1,1,100,23.916
1670854087.397290,137636.000,20745,1,T1,1,100,23.928
1670854087.528376,137763.000,20762,1,T1,1,100,23.933
1670854087.660494,137891.000,20781,1,T1,1,100,23.936
1670854087.794676,138021.000,20797,1,T1,1,100,24.008
1670854087.926794,138149.000,20829,1,T1,1,100,23.968
1670854088.059944,138278.000,20846,1,T1,1,100,23.951
1670854088.193094,138407.000,20863,1,T1,1,100,23.979
1670854088.325212,138535.000,20894,1,T1,1,100,24.026
1670854088.460427,138666.000,20911,1,T1,1,100,24.011
1670854088.592545,138794.000,20930,1,T1,1,100,23.969
1670854088.725695,138923.000,20947,1,T1,1,100,23.987
1670854088.857813,139051.000,20979,1,T1,1,100,23.959
1670854088.991995,139181.000,20995,1,T1,1,100,23.982
1670854089.124113,139309.000,21012,1,T1,1,100,23.992
1670854089.257263,139438.000,21029,1,T1,1,100,24.032
1670854089.390413,139567.000,21060,1,T1,1,100,24.014
1670854089.523563,139696.000,21078,1,T1,1,100,23.935
1670854089.655681,139824.000,21096,1,T1,1,100,23.936
1670854089.787799,139952.000,21128,1,T1,1,100,24.008
1670854089.923013,140083.000,21145,1,T1,1,100,24.003
1670854090.057195,140213.000,21161,1,T1,1,100,23.966
1670854090.189313,140341.000,21179,1,T1,1,100,23.985
1670854090.322464,140470.000,21210,1,T1,1,100,23.923
1670854090.453549,140597.000,21226,1,T1,1,100,23.967
1670854090.586699,140726.000,21246,1,T1,1,100,23.986
1670854090.722946,140858.000,21277,1,T1,1,100,24.029
1670854090.855064,140986.000,21294,1,T1,1,100,24.154
1670854090.988214,141115.000,21311,1,T1,1,100,24.102
1670854091.121364,141244.000,21327,1,T1,1,100,24.009
1670854091.254514,141373.000,21359,1,T1,1,100,24.075
1670854091.389729,141504.000,21376,1,T1,1,100,24.068
1670854091.522879,141633.000,21393,1,T1,1,100,23.958
1670854091.656029,141762.000,21412,1,T1,1,100,23.947
1670854091.788146,141890.000,21449,1,T1,1,100,24.119
1670854091.919232,142017.000,21465,1,T1,1,100,24.087
1670854092.052382,142146.000,21482,1,T1,1,100,24.038
1670854092.188629,142278.000,21514,1,T1,1,100,24.123
1670854092.322811,142408.000,21530,1,T1,1,100,24.018
1670854092.453897,142535.000,21547,1,T1,1,100,24.008
1670854092.586015,142663.000,21566,1,T1,1,100,24.039
1670854092.719165,142792.000,21597,1,T1,1,100,24.017
1670854092.852315,142921.000,21615,1,T1,1,100,24.007
1670854092.986497,143051.000,21631,1,T1,1,100,24.039
1670854093.119647,143180.000,21648,1,T1,1,100,24.017
1670854093.251765,143308.000,21680,1,T1,1,100,24.007
1670854093.383883,143436.000,21696,1,T1,1,100,24.003
1670854093.518065,143566.000,21714,1,T1,1,100,24.037
1670854093.654312,143698.000,21732,1,T1,1,100,24.087
1670854093.786430,143826.000,21764,1,T1,1,100,24.073
1670854093.918548,143954.000,21781,1,T1,1,100,24.067
1670854094.051698,144083.000,21797,1,T1,1,100,24.100
1670854094.183816,144211.000,21829,1,T1,1,100,24.079
1670854094.315934,144339.000,21846,1,T1,1,100,24.140
1670854094.451148,144470.000,21862,1,T1,1,100,24.061
1670854094.585330,144600.000,21882,1,T1,1,100,24.026
1670854094.716416,144727.000,21913,1,T1,1,100,24.047
1670854094.848534,144855.000,21930,1,T1,1,100,24.162
1670854094.981684,144984.000,21947,1,T1,1,100,24.035
1670854095.114834,145113.000,21963,1,T1,1,100,24.050
