LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1670854070.518196,121283.000,18052,1,TH,1,100,21.138
1670854070.650314,121411.000,18077,1,TH,1,100,21.138
1670854070.783464,121540.000,18093,1,TH,1,100,21.033
1670854070.915582,121668.000,18125,1,TH,1,100,21.033
1670854071.048732,121797.000,18142,1,TH,1,100,21.103
1670854071.180850,121925.000,18158,1,TH,1,100,21.103
1670854071.314000,122054.000,18176,1,TH,1,100,21.158
1670854071.445086,122181.000,18207,1,TH,1,100,21.158
1670854071.581332,122313.000,18224,1,TH,1,100,21.203
1670854071.714482,122442.000,18243,1,TH,1,100,21.203
1670854071.847632,122571.000,18275,1,TH,1,100,21.171
1670854071.979750,122699.000,18291,1,TH,1,100,21.171
1670854072.110836,122826.000,18308,1,TH,1,100,21.095
1670854072.243986,122955.000,18325,1,TH,1,100,21.095
1670854072.379200,123086.000,18356,1,TH,1,100,21.063
1670854072.513383,123216.000,18373,1,TH,1,100,21.063
1670854072.646533,123345.000,18392,1,TH,1,100,21.109
1670854072.779683,123474.000,18409,1,TH,1,100,21.109
1670854072.910769,123601.000,18441,1,TH,1,100,21.155
1670854073.047015,123733.000,18457,1,TH,1,100,21.155
1670854073.180165,123862.000,18474,1,TH,1,100,21.074
1670854073.313315,123991.000,18506,1,TH,1,100,21.081
1670854073.445433,124119.000,18522,1,TH,1,100,21.178
1670854073.576519,124246.000,18540,1,TH,1,100,21.178
1670854073.709669,124375.000,18558,1,TH,1,100,21.154
1670854073.844883,124506.000,18590,1,TH,1,100,21.154
1670854073.979066,124636.000,18607,1,TH,1,100,21.183
1670854074.112216,124765.000,18623,1,TH,1,100,21.183
1670854074.242269,124891.000,18655,1,TH,1,100,21.086
1670854074.375419,125020.000,18672,1,TH,1,100,21.086
1670854074.508569,125149.000,18688,1,TH,1,100,21.156
1670854074.642752,125279.000,18708,1,TH,1,100,21.156
1670854074.776934,125409.000,18739,1,TH,1,100,21.148
1670854074.910084,125538.000,18756,1,TH,1,100,21.148
1670854075.041170,125665.000,18773,1,TH,1,100,21.119
1670854075.173288,125793.000,18789,1,TH,1,100,21.118
1670854075.309534,125925.000,18821,1,TH,1,100,21.043
1670854075.443717,126055.000,18838,1,TH,1,100,21.043
1670854075.576867,126184.000,18855,1,TH,1,100,21.072
1670854075.707952,126311.000,18888,1,TH,1,100,21.072
1670854075.841102,126440.000,18906,1,TH,1,100,21.023
1670854075.974252,126569.000,18927,1,TH,1,100,21.023
1670854076.108435,126699.000,18944,1,TH,1,100,21.135
1670854076.243649,126830.000,18976,1,TH,1,100,21.135
1670854076.376799,126959.000,18992,1,TH,1,100,21.178
1670854076.506853,127085.000,19009,1,TH,1,100,21.185
1670854076.640003,127214.000,19028,1,TH,1,100,21.066
1670854076.773153,127343.000,19059,1,TH,1,100,21.066
1670854076.906303,127472.000,19077,1,TH,1,100,21.171
1670854077.037389,127599.000,19093,1,TH,1,100,21.171
1670854077.170539,127728.000,19110,1,TH,1,100,21.112
1670854077.303689,127857.000,19142,1,TH,1,100,21.112
1670854077.435807,127985.000,19158,1,TH,1,100,21.044
1670854077.568957,128114.000,19176,1,TH,1,100,21.044
1670854077.701075,128242.000,19194,1,TH,1,100,21.074
1670854077.833193,128370.000,19226,1,TH,1,100,21.074
1670854077.965311,128498.000,19243,1,TH,1,100,21.149
1670854078.098461,128627.000,19259,1,TH,1,100,21.149
1670854078.231611,128756.000,19277,1,TH,1,100,21.122
1670854078.363729,128884.000,19308,1,TH,1,100,21.122
1670854078.495847,129012.000,19324,1,TH,1,100,21.090
1670854078.628997,129141.000,19344,1,TH,1,100,21.090
1670854078.761115,129269.000,19375,1,TH,1,100,21.103
1670854078.894265,129398.000,19392,1,TH,1,100,21.103
1670854079.027415,129527.000,19409,1,TH,1,100,21.108
1670854079.159533,129655.000,19425,1,TH,1,100,21.108
1670854079.295779,129787.000,19457,1,TH,1,100,21.130
1670854079.428929,129916.000,19474,1,TH,1,100,21.130
1670854079.562079,130045.000,19491,1,TH,1,100,21.157
1670854079.694197,130173.000,19510,1,TH,1,100,21.164
1670854079.827347,130302.000,19542,1,TH,1,100,21.148
1670854079.959465,130430.000,19558,1,TH,1,100,21.148
1670854080.091583,130558.000,19575,1,TH,1,100,21.094
1670854080.224733,130687.000,19592,1,TH,1,100,21.094
1670854080.357883,130816.000,19623,1,TH,1,100,21.080
1670854080.491033,130945.000,19640,1,TH,1,100,21.080
1670854080.622119,131072.000,19659,1,TH,1,100,21.197
1670854080.758366,131204.000,19690,1,TH,1,100,21.197
1670854080.891516,131333.000,19708,1,TH,1,100,21.177
1670854081.023634,131461.000,19724,1,TH,1,100,21.177
1670854081.156784,131590.000,19741,1,TH,1,100,21.100
