LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1670854070.653410,121414.000,18064,1,TL,1,100,2022-12-12_16-07-45-541798
1670854070.688504,121448.000,18067,1,TL,1,100,2022-12-12_16-07-50-668151
1670854075.978381,126573.000,18916,1,TL,1,100,2022-12-12_16-07-50-729262
1670854076.008314,126602.000,18919,1,TL,1,100,2022-12-12_16-07-55-988131
1670854081.249679,131680.000,19751,1,TL,1,100,2022-12-12_16-07-56-053932
1670854081.323996,131752.000,19754,1,TL,1,100,2022-12-12_16-08-01-308688
1670854086.518913,136785.000,20585,1,TL,1,100,2022-12-12_16-08-01-404568
1670854086.543685,136809.000,20588,1,TL,1,100,2022-12-12_16-08-06-533185
1670854091.825305,141926.000,21437,1,TL,1,100,2022-12-12_16-08-06-630859
1670854091.867624,141967.000,21440,1,TL,1,100,2022-12-12_16-08-11-853162
1670854097.092474,147029.000,22274,1,TL,1,100,2022-12-12_16-08-11-920234
1670854097.181241,147115.000,22277,1,TL,1,100,2022-12-12_16-08-17-179999
1670854102.370997,152143.000,23094,1,TL,1,100,2022-12-12_16-08-17-283259
1670854102.408155,152179.000,23097,1,TL,1,100,2022-12-12_16-08-22-402111
1670854107.636102,157244.000,23932,1,TL,1,100,2022-12-12_16-08-22-551987
1670854107.726933,157332.000,23935,1,TL,1,100,2022-12-12_16-08-27-726537
1670854112.915658,162359.000,24768,1,TL,1,100,2022-12-12_16-08-27-827326
1670854112.953848,162396.000,24771,1,TL,1,100,2022-12-12_16-08-32-958330
1670854118.180763,167460.000,25601,1,TL,1,100,2022-12-12_16-08-33-048872
1670854118.268497,167545.000,25604,1,TL,1,100,2022-12-12_16-08-38-273977
1670854123.460318,172575.000,26435,1,TL,1,100,2022-12-12_16-08-38-362588
1670854123.487154,172601.000,26438,1,TL,1,100,2022-12-12_16-08-43-501816
1670854128.734713,177685.000,27272,1,TL,1,100,2022-12-12_16-08-43-597810
1670854128.765678,177715.000,27275,1,TL,1,100,2022-12-12_16-08-48-772994
1670854134.003946,182790.000,28108,1,TL,1,100,2022-12-12_16-08-48-924822
1670854139.279373,187901.000,28923,1,TL,1,100,2022-12-12_16-08-54-158101
1670854139.314467,187935.000,28925,1,TL,1,100,2022-12-12_16-08-54-246825
1670854139.371236,187990.000,28928,1,TL,1,100,2022-12-12_16-08-59-380637
1670854144.558928,193016.000,29745,1,TL,1,100,2022-12-12_16-08-59-575369
1670854144.678660,193132.000,29748,1,TL,1,100,2022-12-12_16-09-04-604407
1670854149.873578,198165.000,30581,1,TL,1,100,2022-12-12_16-09-04-799239
1670854149.899382,198190.000,30584,1,TL,1,100,2022-12-12_16-09-09-920772
1670854155.139715,203267.000,31415,1,TL,1,100,2022-12-12_16-09-09-974088
1670854155.227449,203352.000,31418,1,TL,1,100,2022-12-12_16-09-15-240944
1670854160.423399,208386.000,32253,1,TL,1,100,2022-12-12_16-09-15-324839
1670854160.451267,208413.000,32256,1,TL,1,100,2022-12-12_16-09-20-469604
1670854165.692633,213491.000,33087,1,TL,1,100,2022-12-12_16-09-20-560345
1670854165.772110,213568.000,33090,1,TL,1,100,2022-12-12_16-09-25-784295
1670854170.969091,218603.000,33907,1,TL,1,100,2022-12-12_16-09-25-895175
1670854171.045472,218677.000,33910,1,TL,1,100,2022-12-12_16-09-31-063763
1670854176.235229,223705.000,34728,1,TL,1,100,2022-12-12_16-09-31-225328
1670854176.263097,223732.000,34731,1,TL,1,100,2022-12-12_16-09-36-269951
1670854181.520977,228826.000,35564,1,TL,1,100,2022-12-12_16-09-36-433512
1670854181.548846,228853.000,35567,1,TL,1,100,2022-12-12_16-09-41-555747
1670854186.833562,233973.000,36398,1,TL,1,100,2022-12-12_16-09-41-764907
1670854186.871752,234010.000,36401,1,TL,1,100,2022-12-12_16-09-46-878315
1670854192.129632,239104.000,37232,1,TL,1,100,2022-12-12_16-09-47-083396
1670854192.197755,239170.000,37235,1,TL,1,100,2022-12-12_16-09-52-195986
1670854197.437056,244246.000,38070,1,TL,1,100,2022-12-12_16-09-52-313048
1670854197.528919,244335.000,38073,1,TL,1,100,2022-12-12_16-09-57-532213
1670854202.710418,249355.000,38889,1,TL,1,100,2022-12-12_16-09-57-629025
1670854202.758930,249402.000,38892,1,TL,1,100,2022-12-12_16-10-02-750278
1670854208.019907,254499.000,39723,1,TL,1,100,2022-12-12_16-10-02-903342
1670854213.291205,259606.000,40541,1,TL,1,100,2022-12-12_16-10-08-055949
1670854213.320106,259634.000,40543,1,TL,1,100,2022-12-12_16-10-08-272197
1670854213.393390,259705.000,40546,1,TL,1,100,2022-12-12_16-10-13-391929
1670854218.569728,264720.000,41364,1,TL,1,100,2022-12-12_16-10-13-502691
1670854218.619272,264768.000,41367,1,TL,1,100,2022-12-12_16-10-18-621112
1670854223.855477,269841.000,42199,1,TL,1,100,2022-12-12_16-10-18-831505
1670854223.884377,269869.000,42202,1,TL,1,100,2022-12-12_16-10-23-888816
1670854229.161868,274982.000,43033,1,TL,1,100,2022-12-12_16-10-24-044668
1670854229.188705,275008.000,43036,1,TL,1,100,2022-12-12_16-10-29-189655
1670854234.473421,280128.000,43869,1,TL,1,100,2022-12-12_16-10-29-375709
1670854239.782909,285272.000,44703,1,TL,1,100,2022-12-12_16-10-34-700811
1670854239.822132,285310.000,44706,1,TL,1,100,2022-12-12_16-10-39-820310
1670854245.062465,290387.000,45523,1,TL,1,100,2022-12-12_16-10-40-024846
1670854245.141942,290464.000,45526,1,TL,1,100,2022-12-12_16-10-45-144430
1670854250.379178,295538.000,46361,1,TL,1,100,2022-12-12_16-10-45-261431
1670854250.468977,295625.000,46364,1,TL,1,100,2022-12-12_16-10-50-473387
1670854255.688667,300682.000,47197,1,TL,1,100,2022-12-12_16-10-50-567138
1670854255.715503,300708.000,47200,1,TL,1,100,2022-12-12_16-10-55-720037
1670854261.000219,305828.000,48031,1,TL,1,100,2022-12-12_16-10-55-893730
1670854261.100340,305925.000,48034,1,TL,1,100,2022-12-12_16-11-01-106604
1670854266.318997,310981.000,48867,1,TL,1,100,2022-12-12_16-11-01-216444
1670854266.346866,311008.000,48870,1,TL,1,100,2022-12-12_16-11-06-339778
1670854271.621261,316118.000,49701,1,TL,1,100,2022-12-12_16-11-06-544097
1670854271.678030,316173.000,49704,1,TL,1,100,2022-12-12_16-11-11-671839
1670854276.915266,321247.000,50534,1,TL,1,100,2022-12-12_16-11-11-816230
1670854276.944167,321275.000,50537,1,TL,1,100,2022-12-12_16-11-16-932947
1670854282.205143,326372.000,51356,1,TL,1,100,2022-12-12_16-11-17-085330
1670854282.229916,326396.000,51359,1,TL,1,100,2022-12-12_16-11-22-224240
