RD,TS_received,TS_sent,AK,RoundTrip,
121418,121448,2022-12-12_16-07-50-668151,121451,30,
126578,126602,2022-12-12_16-07-55-988131,126605,24,
131685,131752,2022-12-12_16-08-01-308688,131757,67,
136788,136809,2022-12-12_16-08-06-533185,136812,21,
141932,141967,2022-12-12_16-08-11-853162,141969,35,
147032,147115,2022-12-12_16-08-17-179999,147117,83,
152149,152179,2022-12-12_16-08-22-402111,152183,30,
157247,157332,2022-12-12_16-08-27-726537,157334,85,
162368,162396,2022-12-12_16-08-32-958330,162399,28,
167463,167545,2022-12-12_16-08-38-273977,167549,82,
172579,172601,2022-12-12_16-08-43-501816,172605,22,
177689,177715,2022-12-12_16-08-48-772994,177718,26,
182796,187901,2022-12-12_16-08-54-158101,187919,5105,
187941,187990,2022-12-12_16-08-59-380637,193007,49,
193019,193132,2022-12-12_16-09-04-604407,198156,113,
198169,198190,2022-12-12_16-09-09-920772,198194,21,
203273,203352,2022-12-12_16-09-15-240944,203355,79,
208389,208413,2022-12-12_16-09-20-469604,208417,24,
213497,213568,2022-12-12_16-09-25-784295,213571,71,
218606,218677,2022-12-12_16-09-31-063763,218680,71,
223708,223732,2022-12-12_16-09-36-269951,223735,24,
228829,228853,2022-12-12_16-09-41-555747,228856,24,
233978,234010,2022-12-12_16-09-46-878315,234014,32,
239110,239170,2022-12-12_16-09-52-195986,239173,60,
244251,244335,2022-12-12_16-09-57-532213,244340,84,
249361,249402,2022-12-12_16-10-02-750278,249408,41,
254502,259606,2022-12-12_16-10-08-055949,259617,5104,
259639,259705,2022-12-12_16-10-13-391929,259708,66,
264725,264768,2022-12-12_16-10-18-621112,264773,43,
269844,269869,2022-12-12_16-10-23-888816,269872,25,
274985,275008,2022-12-12_16-10-29-189655,275011,23,
280131,0,,280233,-280131,
285278,285310,2022-12-12_16-10-39-820310,285316,32,
290393,290464,2022-12-12_16-10-45-144430,290470,71,
295543,295625,2022-12-12_16-10-50-473387,295629,82,
300686,300708,2022-12-12_16-10-55-720037,300712,22,
305831,305925,2022-12-12_16-11-01-106604,305928,94,
310987,311008,2022-12-12_16-11-06-339778,311012,21,
316124,316173,2022-12-12_16-11-11-671839,316178,49,
321250,321275,2022-12-12_16-11-16-932947,321278,25,
326375,326396,2022-12-12_16-11-22-224240,326399,21,
331482,331505,2022-12-12_16-11-27-492969,331507,23,
336619,336651,2022-12-12_16-11-32-796398,336654,32,
341731,341756,2022-12-12_16-11-38-073705,341760,25,
346871,346932,2022-12-12_16-11-43-410386,346938,61,
351995,352016,2022-12-12_16-11-48-671927,352019,21,
357119,357140,2022-12-12_16-11-53-955900,357143,21,
362271,362293,2022-12-12_16-11-59-278637,362295,22,
367410,367473,2022-12-12_16-12-04-610662,367479,63,
372540,372564,2022-12-12_16-12-09-874072,372567,24,
377694,377772,2022-12-12_16-12-15-253021,377778,78,
382826,382932,2022-12-12_16-12-20-485646,387978,106,
387991,388012,2022-12-12_16-12-25-826156,388016,21,
393129,393175,2022-12-12_16-12-31-133767,393180,46,
398229,398250,2022-12-12_16-12-36-387388,398254,21,
403357,403382,2022-12-12_16-12-41-682970,403385,25,
408463,408516,2022-12-12_16-12-46-985125,408519,53,
413566,413587,2022-12-12_16-12-52-221475,413591,21,
418699,418751,2022-12-12_16-12-57-543949,418756,52,
423811,423884,2022-12-12_16-13-02-855715,423887,73,
428917,428964,2022-12-12_16-13-08-084971,428969,47,
434041,434062,2022-12-12_16-13-13-362197,434065,21,
439157,439179,2022-12-12_16-13-18-633876,439182,22,
444256,444279,2022-12-12_16-13-23-894701,444281,23,
449385,449417,2022-12-12_16-13-29-189772,449422,32,
454514,454569,2022-12-12_16-13-34-503030,454574,55,
459615,459644,2022-12-12_16-13-39-749471,459647,29,
464731,464780,2022-12-12_16-13-45-050768,464782,49,
469831,469853,2022-12-12_16-13-50-295429,469855,22,
474947,475004,2022-12-12_16-13-55-597082,475009,57,
480047,480071,2022-12-12_16-14-00-843558,480074,24,
485160,485209,2022-12-12_16-14-06-143377,485212,49,
490264,490284,2022-12-12_16-14-11-380380,490287,20,
495412,495438,2022-12-12_16-14-16-694831,495443,26,
500513,500533,2022-12-12_16-14-21-952756,500536,20,
505622,505656,2022-12-12_16-14-27-243257,505659,34,
510738,510760,2022-12-12_16-14-32-511901,510763,22,
